company_name,email,phone,website,snippet,commodity,source,collection_date,data_quality_score,additional_emails,additional_phones
Contact From Https://Www.Rollsbearing.Com/23007-Top-10-Bearings-Companies-In-Usa.Html,sales@rollsbearing.com,852-2137605,https://www.rollsbearing.com/23007-top-10-bearings-companies-in-usa.html,Deep scraped from https://www.rollsbearing.com/23007-top-10-bearings-companies-in-usa.html,Bearings,Website Deep Scrape,2025-09-18 16:36:28,75,karin@rollsbearing.com,
Contact From Https://Www.Bakerbearing.Com/,sales@bakerbearing.com,(800)808-5412,https://www.bakerbearing.com/,Deep scraped from https://www.bakerbearing.com/,Bearings,Website Deep Scrape,2025-09-18 16:36:49,75,brian@bakerbearing.com,"(800)875-6211, 800-875-6211, (800) 808-5412"
Contact From Https://Www.Unitedbearingcompany.Com/Index_Php.Html,shipping@unitedbearingcompany.com,972.393.9245,https://www.unitedbearingcompany.com/index_php.html,Deep scraped from https://www.unitedbearingcompany.com/index_php.html,Bearings,Website Deep Scrape,2025-09-18 16:37:11,75,"accounting@unitedbearingcompany.com, sales@unitedbearingcompany.com, purchasing@unitedbearingcompany.com, unitedbrgpurch@unitedbearingcompany.com","972.393.9260, 800.531.4464, 972.393.0922, 800-328-4323, 800.328.4323"
Contact From Https://Www.Klostermanbakery.Com/,info@klostermanbakery.com,+1 513 242 1004,https://www.klostermanbakery.com/,Deep scraped from https://www.klostermanbakery.com/,Bread,Website Deep Scrape,2025-09-18 17:32:22,75,Info@KlostermanBakery.com,"+1 (877) 301-1004, 513 242 1004, 877-301-1004, (877) 301-1004"
Contact From Https://Ensun.Io/Search/Bread-Manufacturing/United-States,info@ensun.de,+49 271 3388120,https://ensun.io/search/bread-manufacturing/united-states,Deep scraped from https://ensun.io/search/bread-manufacturing/united-states,Bread,Website Deep Scrape,2025-09-18 17:33:00,75,,271 3388120
Contact From Https://Www.Eurobake.Us/Contact-Us/,brian.davel@lantmannen.com,415-400-9997,https://www.eurobake.us/contact-us/,Deep scraped from https://www.eurobake.us/contact-us/,Bread,Website Deep Scrape,2025-09-18 17:33:09,75,"patrick.paulmeier@lantmannen.com, erik.ingraham@lantmannen.com, Cust.Svc.USA@lantmannen.com, Foundation@VooDooChef.com, cherie.croteau@lantmannen.com, luis.negron@lantmannen.com, harry.duffin@lantmannen.com, greg.lutes@lantmannen.com, deborah.heitmeier@lantmannen.com, michael.etkin@lantmannen.com","732-908-6496, 727-739-6306, 727-618-8888, 678-860-1894, 727-390-9224, 614-218-7688, 727-709-0953, 727-823-1113, 727-420-1864"
Contact From Https://Www.Breadnbread.Com/,contact@breadnbread.com,786.212-1755,https://www.breadnbread.com/,Deep scraped from https://www.breadnbread.com/,Bread,Website Deep Scrape,2025-09-18 17:33:19,75,,"786.451-6139, 786.451.6139, 786.212.1755"
Contact From Https://Www.Mcnear.Com/,admin@mcnear.com,(888) 442-6811,https://www.mcnear.com/,Deep scraped from https://www.mcnear.com/,Bricks,Website Deep Scrape,2025-09-18 17:41:33,75,admin@mcnear.com,"(415) 257-6353, (415) 454-6811, (415) 453-7702, (415) 453-3141"
Contact From Https://Www.Linquip.Com/Blog/Brick-Manufacturers-In-Usa-Globally/,info@linquip.com,,https://www.linquip.com/blog/brick-manufacturers-in-usa-globally/,Deep scraped from https://www.linquip.com/blog/brick-manufacturers-in-usa-globally/,Bricks,Website Deep Scrape,2025-09-18 17:40:17,75,,
Contact From Https://Www.Gobrick.Com/About-Bia/Member-Directory,mpace@bia.org,,https://www.gobrick.com/about-bia/member-directory,Deep scraped from https://www.gobrick.com/about-bia/member-directory,Bricks,Website Deep Scrape,2025-09-18 17:40:43,75,,
Contact From Https://Usbrick.Com/Contact/,commercial@usbrick.com,843-887-1010,https://usbrick.com/contact/,Deep scraped from https://usbrick.com/contact/,Bricks,Website Deep Scrape,2025-09-18 17:40:55,75,"communications@usbrick.com, hr@usbrick.com, info@usbrick.com","205-564-3226, 731-648-5527, 803-530-4832, 931-920-2132, 662-840-8884, 615-350-6235, 334-752-7102, 901-624-6889, 803-530-8903, (855) 473-2827, 256-764-9148, 205-481-0426, 865-671-4725, 256-721-0990, 317-831-4614"
Contact From Https://Www.Trianglebrick.Com/,cs@trianglebrick.com,(919) 544-1796,https://www.trianglebrick.com/,Deep scraped from https://www.trianglebrick.com/,Bricks,Website Deep Scrape,2025-09-18 17:40:11,75,,800-672-8547
Contact From Https://Www.Summitbrick.Com/,info@summitbrick.com,303.629.9316,https://www.summitbrick.com/,Deep scraped from https://www.summitbrick.com/,Bricks,Website Deep Scrape,2025-09-18 17:41:17,75,,"303.238.5313, 719.542.5243, 520.623.3394, 719.542.8278, 303.592.7080, 602.258.7158, 303.237.7737"
Contact From Https://Marwoodsales.Com/,mwoodard@marwoodsales.com,+1.800.745.2881,https://marwoodsales.com/,Deep scraped from https://marwoodsales.com/,Cheese,Website Deep Scrape,2025-09-18 17:24:25,75,,"913.722.1534, +1.913.262.9132, 800.745.2881, 913.262.9132, +1.913.722.1534, (800)745-2881"
